skill1|MaouHeathclif_Main_S5	0	windup
skill1|MaouHeathclif_Main_S5	0.25	slash
skill1|MaouHeathclif_Main_S5	0.333333343	followthrough
skill1|MaouHeathclif_Main_S5	0.433333337	idle
skill1|MaouHeathclif_Main_S2	0	windup
skill1|MaouHeathclif_Main_S2	0.349999994	slash
skill1|MaouHeathclif_Main_S2	0.449999988	followthrough
skill2|MaouHeathclif_Main_S5	0	windup
skill2|MaouHeathclif_Main_S5	0.25	slash
skill2|MaouHeathclif_Main_S5	0.333333343	followthrough
skill2|MaouHeathclif_Main_S5	0.433333337	idle
skill2|MaouHeathclif_Main_S2	0	windup
skill2|MaouHeathclif_Main_S2	0.349999994	slash
skill2|MaouHeathclif_Main_S2	0.449999988	followthrough
skill2|MaouHeathclif_Ride_Riding	0	windup
skill2|MaouHeathclif_Ride_Riding	0.666666687	slash
skill2|MaouHeathclif_Ride_Riding	0.833333313	followthrough
skill2|MaouHeathclif_Ride_Riding	1	idle
skill3|Heathclif_WHunt_S1	0	windup
skill3|Heathclif_WHunt_S1	0.349999994	slash
skill3|Heathclif_WHunt_S1	0.449999988	followthrough
skill3|Heathclif_WHunt_S2	0	windup
skill3|Heathclif_WHunt_S2	0.449999988	slash
skill3|Heathclif_WHunt_S2	0.949999988	thrust
skill3|Heathclif_WHunt_S2	1.2166667	idle
counter|MaouHeathclif_Main_S5	0	windup
counter|MaouHeathclif_Main_S5	0.25	slash
counter|MaouHeathclif_Main_S5	0.333333343	followthrough
counter|MaouHeathclif_Main_S5	0.433333337	idle
counter|MaouHeathclif_Main_S2	0	windup
counter|MaouHeathclif_Main_S2	0.349999994	slash
counter|MaouHeathclif_Main_S2	0.449999988	followthrough
counter|MaouHeathclif_Ride_Riding	0	windup
counter|MaouHeathclif_Ride_Riding	0.666666687	slash
counter|MaouHeathclif_Ride_Riding	0.833333313	followthrough
counter|MaouHeathclif_Ride_Riding	1	idle
transform|Heathclif_WHunt_Ride_Start	0	transform_start
transform|Heathclif_WHunt_Ride_Start	0.533333361	windup
transform|Heathclif_WHunt_Ride_Start	0.766666651	slash
transform|Heathclif_WHunt_Ride_Start	0.899999976	idle
parry|Heathclif_WHunt_S1	0	windup
parry|Heathclif_WHunt_S1	0.349999994	slash
parry|Heathclif_WHunt_S1	0.449999988	followthrough
parry|Heathclif_WHunt_S2	0	windup
parry|Heathclif_WHunt_S2	0.449999988	slash
parry|Heathclif_WHunt_S2	0.949999988	followthrough
parry|Heathclif_WHunt_S2	1.2166667	idle
